ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-13277,"08/10/2023, 6:25:00 PM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12744,"08/01/2023, 8:08:00 PM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3M 2M7,700 Block HAMILTON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13231,"08/09/2023, 7:17:00 PM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3M 3V6,300 Block 9TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-13253,"08/04/2023, 7:00:00 AM","08/11/2023, 4:03:18 PM",NEW WESTMINSTER,BC,V3L 1T8,300 Block SYDNEY ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13265,"08/10/2023, 11:23:00 AM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13255,"08/10/2023, 3:51:00 AM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3M 5V2,800 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-13219,"08/09/2023, 2:50:00 PM","08/10/2023, 4:34:02 PM",NEW WESTMINSTER,BC,V3L 4T2,900 Block MASSEY ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-13224,"08/09/2023, 4:47:00 PM","08/10/2023, 4:34:02 PM",NEW WESTMINSTER,BC,V3M 3E5,1900 Block LONDON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13218,"08/09/2023, 2:10:00 PM","08/10/2023, 4:34:02 PM",NEW WESTMINSTER,BC,V3M 4X3,900 Block 20TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13182,"08/08/2023, 7:37:00 PM","08/10/2023, 4:34:02 PM",NEW WESTMINSTER,BC,V3L,CAPILANO WAY,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
