,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude
493,519,23-1058,2023-01-20 00:00:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M 2C9,1600 Block 6TH AVE,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.2040879,-122.9371647
494,520,23-1050,2023-01-18 02:38:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M 3R6,400 Block 8TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.208257,-122.9207169
495,521,23-888,2023-01-19 02:33:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M 2R2,600 Block 8TH AVE,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2155444,-122.924083
496,522,23-962,2023-01-16 21:30:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2028997,-122.9077891
497,523,23-987,2023-01-20 19:52:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3L 3A9,400 Block 6TH ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2102315,-122.916645
498,525,23-950,2023-01-19 10:45:00+00:00,2023-01-20 17:14:31+00:00,NEW WESTMINSTER,BC,V3M,300 Block 14TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2030532,-122.9299531
499,526,23-986,2023-01-19 10:45:00+00:00,2023-01-20 17:14:31+00:00,NEW WESTMINSTER,BC,V3L 4J9,200 Block E 8TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.22575250000001,-122.9052299
500,527,23-984,2023-01-18 20:27:00+00:00,2023-01-20 17:14:31+00:00,NEW WESTMINSTER,BC,V3L 4K4,300 Block E 8TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2273338,-122.9023012
501,528,23-936,2023-01-18 00:52:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,V3M 4H2,200 Block 12TH ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2015149,-122.923801
502,529,23-882,2023-01-17 17:49:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,ROBBERY W/OTHER OFFENSIVE WPN,Robbery,ROBBERY W/OTHER OFFENSIVE WPN,49.200803,-122.9134438
503,530,23-858,2023-01-18 00:40:00+00:00,2023-01-19 17:34:36+00:00,NEW WESTMINSTER,BC,V3K 0M4,900 Block CARNARVON ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.20060340000001,-122.9151316
504,531,23-880,2023-01-18 10:45:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,.,CHURCH ST & COLUMBIA ST,ROBBERY W/OTHER OFFENSIVE WPN,Robbery,ROBBERY W/OTHER OFFENSIVE WPN,49.203895,-122.906557
505,532,23-907,2023-01-17 16:30:00+00:00,2023-01-19 17:34:36+00:00,NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.2020176,-122.9096046
506,533,23-883,2023-01-17 04:25:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,.,1 Block ST,FRAUD-OTHER,Property Crime,FRAUD-OTHER,49.2057179,-122.910956
507,534,23-80013,2023-01-18 20:43:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,V3L 1J7,200 Block QUEENS AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.21018369999999,-122.9066045
508,535,23-939,2023-01-17 22:57:00+00:00,2023-01-19 17:34:36+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2250787,-122.8929076
509,536,23-878,2023-01-18 19:15:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,V3L,BRAID STN & ACCESS RD,THEFT-OTHER OVER $5000,Theft,THEFT-OTHER OVER $5000,49.2325219,-122.8851757
510,537,23-931,2023-01-10 19:00:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,V3L 3T6,400 Block KELLY ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2280771,-122.8912257
511,538,23-887,2023-01-17 18:28:00+00:00,2023-01-19 17:34:36+00:00,NEW WESTMINSTER,BC,V3M 1T8,1200 Block 4TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2044947,-122.926906
512,539,23-860,2023-01-18 20:43:00+00:00,2023-01-19 17:34:35+00:00,NEW WESTMINSTER,BC,V3M 4G2,500 Block 11TH ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2069803,-122.9274512
